Age,Annual Income (k$),Spending Score (1-100),Genre_Male,Cluster
19,15,39,True,1
21,15,81,True,0
20,16,6,False,1
23,16,77,False,0
31,17,40,False,1
22,17,76,False,0
35,18,6,False,2
23,18,94,False,0
64,19,3,True,2
30,19,72,False,0
67,19,14,True,2
35,19,99,False,0
58,20,15,False,2
24,20,77,False,0
37,20,13,True,2
22,20,79,True,0
35,21,35,False,1
20,21,66,True,0
52,23,29,True,2
35,23,98,False,0
35,24,35,True,1
25,24,73,True,0
46,25,5,False,2
31,25,73,True,0
54,28,14,False,2
29,28,82,True,0
45,28,32,False,1
35,28,61,True,1
40,29,31,False,1
23,29,87,False,0
60,30,4,True,2
21,30,73,False,0
53,33,4,True,2
18,33,92,True,0
49,33,14,False,2
21,33,81,False,0
42,34,17,False,2
30,34,73,False,0
36,37,26,False,1
20,37,75,False,0
65,38,35,False,2
24,38,92,True,0
48,39,36,True,4
31,39,61,False,0
49,39,28,False,2
24,39,65,False,0
50,40,55,False,1
27,40,47,False,1
29,40,42,False,1
31,40,42,False,1
49,42,52,False,1
33,42,60,True,1
31,43,54,False,1
59,43,60,True,4
50,43,45,False,1
47,43,41,True,4
51,44,50,False,1
69,44,46,True,2
27,46,51,False,0
53,46,46,True,4
70,46,56,True,4
19,46,55,True,3
67,47,52,False,2
54,47,59,False,1
63,48,51,True,4
18,48,59,True,3
43,48,50,False,1
68,48,48,False,2
19,48,59,True,3
32,48,47,False,1
70,49,55,True,4
47,49,42,False,1
60,50,49,False,2
60,50,56,False,1
59,54,47,True,4
26,54,54,True,3
45,54,53,False,1
40,54,48,True,4
23,54,52,False,0
49,54,42,False,1
57,54,51,True,4
38,54,55,True,4
67,54,41,True,4
46,54,44,False,1
21,54,57,False,0
48,54,46,True,4
55,57,58,False,1
22,57,55,False,0
34,58,60,False,0
50,58,46,False,1
68,59,55,False,2
18,59,41,True,3
48,60,49,True,4
40,60,40,False,1
32,60,42,False,1
24,60,52,True,3
47,60,47,False,1
27,60,50,False,0
48,61,42,True,4
20,61,49,True,3
23,62,41,False,0
49,62,48,False,1
67,62,59,True,4
26,62,55,True,3
49,62,56,True,4
21,62,42,False,0
66,63,50,False,2
54,63,46,True,4
68,63,43,True,4
66,63,48,True,4
65,63,52,True,4
19,63,54,False,0
38,64,42,False,1
19,64,46,True,3
18,65,48,False,0
19,65,50,False,0
63,65,43,False,2
49,65,59,False,1
51,67,43,False,1
50,67,57,False,1
27,67,56,True,3
38,67,40,False,1
40,69,58,False,1
39,69,91,True,3
23,70,29,False,1
31,70,77,False,0
43,71,35,True,4
40,71,95,True,3
59,71,11,True,4
38,71,75,True,3
47,71,9,True,4
39,71,75,True,3
25,72,34,False,1
31,72,71,False,0
20,73,5,True,4
29,73,88,False,0
44,73,7,False,2
32,73,73,True,3
19,74,10,True,4
35,74,72,False,0
57,75,5,False,2
32,75,93,True,3
28,76,40,False,1
32,76,87,False,0
25,77,12,True,4
28,77,97,True,3
48,77,36,True,4
32,77,74,False,0
34,78,22,False,1
34,78,90,True,3
43,78,17,True,4
39,78,88,True,3
44,78,20,False,2
38,78,76,False,0
47,78,16,False,2
27,78,89,False,0
37,78,1,True,4
30,78,78,False,0
34,78,1,True,4
30,78,73,False,0
56,79,35,False,2
29,79,83,False,0
19,81,5,True,4
31,81,93,False,0
50,85,26,True,4
36,85,75,False,0
42,86,20,True,4
33,86,95,False,0
36,87,27,False,1
32,87,63,True,3
40,87,13,True,4
28,87,75,True,3
36,87,10,True,4
36,87,92,True,3
52,88,13,False,4
30,88,86,False,0
58,88,15,True,4
27,88,69,True,3
59,93,14,True,4
35,93,90,True,3
37,97,32,False,4
32,97,86,False,3
46,98,15,True,4
29,98,88,False,3
41,99,39,False,4
30,99,97,True,3
54,101,24,False,4
28,101,68,True,3
41,103,17,False,4
36,103,85,False,3
34,103,23,False,4
32,103,69,False,3
33,113,8,True,4
38,113,91,False,3
47,120,16,False,4
35,120,79,False,3
45,126,28,False,4
32,126,74,True,3
32,137,18,True,4
30,137,83,True,3
